"taxon","lfc_(Intercept)","lfc_TimepointAfter_Treatment","lfc_Timepoint5dpi","se_(Intercept)","se_TimepointAfter_Treatment","se_Timepoint5dpi","W_(Intercept)","W_TimepointAfter_Treatment","W_Timepoint5dpi","p_(Intercept)","p_TimepointAfter_Treatment","p_Timepoint5dpi","q_(Intercept)","q_TimepointAfter_Treatment","q_Timepoint5dpi","diff_(Intercept)","diff_TimepointAfter_Treatment","diff_Timepoint5dpi","passed_ss_(Intercept)","passed_ss_TimepointAfter_Treatment","passed_ss_Timepoint5dpi"
"f__Lachnospiraceae Family",0.0413004369934104,-1.98059422739402,0.750960393339029,0.359499700505927,0.543674933298517,0.488910642897886,0.114883091516593,-3.64297506853516,1.53598700344896,0.910437715001642,0.00336964091300064,0.150478610699316,1,0.0404356909560077,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"g__Dubosiella",1.23634546960606,-1.75428402334052,-2.25976825866496,0.232319679958517,0.691577015547658,0.380369092289974,5.32174230709521,-2.53664304032908,-5.94098812040761,0.000107832074114933,0.0237237469555444,3.60320945558088e-05,0.00129398488937919,0.237237469555444,0.000504449323781323,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"g__Lactobacillus",0.640179992211496,-1.70900733936732,0.511543398124239,0.299249139249282,0.570874159202397,0.41260600562831,2.13928766451091,-2.9936673640213,1.23978660307009,0.0519623035340589,0.0103643426611564,0.23696815274192,0.415698428272471,0.114007769272721,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"g__Schaedlerella",-0.77704239634643,0.147286516029147,2.35713636256612,0.279007725773685,0.584045766362872,0.441394064648219,-2.78502107492436,0.252183175552097,5.34020856044972,0.0271017319235049,0.808143800283413,0.00107550881409541,0.243915587311544,1,0.012906105769145,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"g__Sporofaciens",0.084538242713639,-1.28817600077313,0.617711167188879,0.310438419966746,0.517697428201905,0.520191396514534,0.272318879611276,-2.4882796989108,1.18746901876456,0.789654131679862,0.0271827418681364,0.256287405314228,1,0.244644676813228,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"g__Alistipes_A_871400",1.1005865607712,-2.82850732669517,-0.743095276947423,0.172039877672178,0.589216972494147,0.773040337666003,6.39727588546861,-4.80045120683156,-0.961263262394571,3.90274366914415e-06,0.0001243401281078,0.348494548021275,5.46384113680181e-05,0.00186510192161701,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"g__Bacteroides_H_857956",-0.777213294186835,0.833454320582111,1.49338026423608,0.16079746541998,0.655669141617445,0.22429273835982,-4.83349219564417,1.27115074918136,6.65817482615216,7.8908490570192e-05,0.216951313292692,1.07759218278986e-06,0.0010258103774125,1,1.61638827418479e-05,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"o__Lachnospirales Order",-0.807783230063727,1.15770799440852,1.57043936035891,0.246122292033641,0.583210270057647,0.386478317376352,-3.28204009230223,1.98506105575624,4.0634604575491,0.00545373153127299,0.0670882243487667,0.00116223859347381,0.0599910468440029,0.536705794790134,0.012906105769145,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Parasutterella_564865",-2.23280558518208,3.60548104350225,2.76466546074718,0.180488392037124,0.854590104625742,0.246377291232636,-12.3709096190675,4.21895950349346,11.2212673778312,2.210803315912e-11,0.000353443987199992,1.42595836048367e-10,3.5372853054592e-10,0.00494821582079989,2.28153337677387e-09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"g__Clostridium_T",0.238032864742488,0.206917843401214,-0.78207169156079,0.23213093226095,0.589612035917975,0.398063895122529,1.02542501520178,0.350938974776967,-1.96468883800692,0.318041630105557,0.729495349764433,0.0642457796968168,1,1,0.642457796968168,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Lepagella",1.36465412532874,-4.01320951375633,-0.212830288066038,0.179090548721589,0.440792880162893,0.281399248957819,7.6199114641734,-9.10452435682097,-0.756328557571736,7.03577285379659e-07,6.01246494077474e-08,0.459805762053389,1.05536592806949e-05,9.61994390523958e-07,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"g__Akkermansia",-0.278918042116109,-0.6768582412957,1.45224795173142,0.23295931201978,0.909671762199062,0.316412851522245,-1.19728221936209,-0.744068651377555,4.58972492661006,0.24453739652338,0.465079903575188,0.000158731275994474,1,1,0.00206350658792816,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"g__Adlercreutzia_A_404257",-0.230862809540159,0.20052888494694,0.764501832234493,0.324697355806964,0.532163821431224,0.498939030690335,-0.711009207224372,0.376817958815068,1.53225501556117,0.487315085739251,0.711259591140851,0.144992229111017,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__Pelethenecus",0.155111322174955,-0.12097870007386,0.00622102651093344,0.236732976925933,0.638640720120029,0.564022082752308,0.655216371580902,-0.189431547758375,0.0110297569920953,0.520183315235318,0.851763581681267,0.991314697181163,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"g__UBA946",0.827117422441495,-2.88061272386581,-0.0125158973451943,0.295196585530007,0.523325099109188,0.418307301081409,2.80192069619117,-5.50444213122825,-0.029920341607326,0.0206477463723181,0.000378007498266723,0.976783574773714,0.206477463723181,0.00494821582079989,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"g__Choladousia",-0.296626797140995,0.781476718114686,0.407537635082691,0.233890416618583,0.579539353291918,0.368307767063897,-1.268229803638,1.34844461152762,1.10651382220779,0.233445477898776,0.207261573723177,0.294411706477871,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
